id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1028,1,masculino,2023,publico,0.0,9.2,7.52,5.0,nao,7.946666667,5.0,2023,7.34375,11,agata,5.0,5.0,4.9399999999999995,-1.0,6.415708333,ingressante,escolar,fundamental1,False,True,moderada,0,,,recuo,,,avanco,,,recuo
RA-1028,1,masculino,2023,publico,8.002,7.055335968,5.63,7.5,nao,8.393333333,5.0,2024,6.875,12,ametista,6.0,9.0,7.3,-2.0,7.1404338602,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,recuo,,recuo
RA-1029,1,feminino,2023,publico,10.0,6.3,3.77,5.4,nao,8.006666667,10.0,2023,7.5,9,ametista,3.5,7.2,4.5600000000000005,0.0,7.058533333,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,neutro
RA-1029,1,feminino,2023,publico,9.002,8.7954545455,6.885,8.75,nao,7.25,5.0,2024,7.5,10,ametista,8.0,9.5,8.5,-1.0,7.797790909100001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,neutro,,neutro
RA-103,4,feminino,2020,privado,7.9,8.7,7.5,7.3,nao,7.708,10.0,2022,7.989583333400001,13,topazio,7.3,7.3,7.3,1.0,8.107,veterano,escolar,fundamental2,False,False,em fase,2,,neutro,recuo,,neutro,avanco,,neutro,neutro
RA-103,5,feminino,2020,privado,8.3,9.2,5.0,7.1,nao,8.09,10.0,2023,8.125,14,topazio,7.3,6.3,7.7,1.0,8.0239,veterano,escolar,medio,False,True,em fase,3,neutro,neutro,recuo,neutro,neutro,avanco,neutro,neutro,neutro
RA-103,5,feminino,2021,privado,8.334,9.603174603333335,6.26,9.166666666666666,nao,8.872,10.0,2024,7.875,15,topazio,9.0,9.0,9.5,0.0,8.775268254,veterano,escolar,medio,True,False,em fase,3,recuo,neutro,recuo,avanco,neutro,avanco,neutro,neutro,neutro
RA-1030,1,masculino,2023,publico,8.5,9.7,3.77,6.9,nao,8.39,5.0,2023,6.875,0,ametista,6.2,7.5,7.039999999999999,-1.0,7.4027,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,avanco,,,neutro
RA-1030,2,masculino,2023,publico,7.418,8.28320802,4.385,8.0,nao,7.61,10.0,2024,7.8125,12,ametista,10.0,6.0,8.440000000000001,0.0,7.7401916040000005,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,avanco,,avanco,neutro,,neutro
RA-1031,1,masculino,2023,publico,8.0,8.8,7.52,5.9,nao,7.006666667,5.0,2023,6.666666667,10,ametista,4.8,7.0,5.819999999999999,-1.0,7.0602,ingressante,escolar,fundamental1,False,False,moderada,0,,,neutro,,,recuo,,,avanco
RA-1031,1,masculino,2023,publico,9.502,8.6363636365,7.51,6.25,nao,5.83,5.0,2024,5.3125,11,agata,5.5,7.0,7.12,-1.0,6.8757227273,veterano,escolar,fundamental1,True,False,moderada,1,neutro,,neutro,recuo,,recuo,avanco,,avanco
RA-1032,1,masculino,2023,publico,8.5,9.5,7.52,6.0,nao,7.563333333,5.0,2023,7.291666667,0,ametista,5.7,6.2,5.9399999999999995,-1.0,7.434033333,ingressante,escolar,fundamental1,False,False,moderada,0,,,neutro,,,avanco,,,avanco
RA-1032,1,masculino,2023,publico,8.502,9.75,7.51,8.0,nao,7.92,5.0,2024,7.8125,11,topazio,9.0,7.0,8.02,-1.0,8.01645,veterano,escolar,fundamental1,True,False,moderada,1,neutro,,neutro,avanco,,avanco,avanco,,avanco
RA-1033,1,feminino,2023,publico,9.0,8.9,7.52,7.9,nao,9.006666667,5.0,2023,8.125,0,topazio,7.0,8.8,8.36,-1.0,8.126033333,ingressante,escolar,fundamental1,True,False,moderada,0,,,,,,,,,
RA-1034,1,masculino,2023,publico,7.5,9.0,7.52,8.3,nao,8.393333333,5.0,2023,8.333333333,10,ametista,7.8,8.7,8.34,-1.0,7.9642,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,neutro,,,avanco
